account_code,account_name,inferred_type,inferred_group,parent_note
6251,ผลประโยชน์พนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6261,ค่าพาหนะ ค่าใช้จ่ายในการเดินทาง และค่าที่พัก - พนักงานขาย,EXPENSE,COGS,from TB row order; no explicit parent id
6301,ค่าโฆษณาและส่งเสริมการขาย,EXPENSE,COGS,from TB row order; no explicit parent id
6401,ค่าเสื่อมราคา - เครื่องจักรและอุปกรณ์ในการดำเนินงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6402,ค่าเสื่อมราคา - เครื่องตกแต่งในการดำเนินงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6411,ค่าเสื่อมราคา - สิ่งปรับปรุงสินทรัพย์ - สาขา,EXPENSE,COGS,from TB row order; no explicit parent id
6412,ค่าเสื่อมราคา - ร้านที่ให้เช่าเครื่องจักร,EXPENSE,COGS,from TB row order; no explicit parent id
6421,ค่าตัดจำหน่าย,EXPENSE,COGS,from TB row order; no explicit parent id
6501,ค่าวัสดุใช้สิ้นเปลือง,EXPENSE,COGS,from TB row order; no explicit parent id
6502,ค่าซ่อมแซมรักษา,EXPENSE,COGS,from TB row order; no explicit parent id
6503,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการขาย,EXPENSE,COGS,from TB row order; no explicit parent id
6510,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการให้เช่าเครื่องจักร,EXPENSE,COGS,from TB row order; no explicit parent id
6601,เงินเดือน และค่าจ้าง,EXPENSE,COGS,from TB row order; no explicit parent id
6621,เงินที่จ่ายสมทบเข้าประกันสังคม,EXPENSE,COGS,from TB row order; no explicit parent id
6631,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับพนักงานสำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6641,ค่าฝึกอบรมพนักงานสำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6651,ผลประโยชน์พนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6661,ค่าพาหนะ ค่าใช้จ่ายในการเดินทาง และค่าที่พัก - พนักงานสำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6701,ค่าใช้จ่ายเกี่ยวกับรถยนต์,EXPENSE,COGS,from TB row order; no explicit parent id
6702,ค่าซ่อมแซมรถยนต์,EXPENSE,COGS,from TB row order; no explicit parent id
6703,ค่าเช่ารถยนต์,EXPENSE,COGS,from TB row order; no explicit parent id
6801,ค่าเช่าและค่าบริการ - สำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6811,ค่าไฟ - สำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6821,ค่าประปา - สำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6831,ค่าไปรษณียากร - สำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6841,ค่าโทรศัพท์ โทรสาร - สำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6851,ค่าซ่อมแซมและรักษา - สำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6901,ค่าวัสดุใช้ในสำนักงาน,EXPENSE,COGS,from TB row order; no explicit parent id
6911,ค่าใช้จ่ายเกี่ยวกับคอมพิวเตอร์,EXPENSE,COGS,from TB row order; no explicit parent id
6921,ค่าเบี้ยประกันภัย,EXPENSE,COGS,from TB row order; no explicit parent id
6931,ค่าส่งเสริมการขาย,EXPENSE,COGS,from TB row order; no explicit parent id
6941,ค่าธรรมเนียมธนาคาร,EXPENSE,COGS,from TB row order; no explicit parent id
6951,ค่ารับรอง,EXPENSE,COGS,from TB row order; no explicit parent id
6961,ค่าภาษีธุรกิจเฉพาะ,EXPENSE,COGS,from TB row order; no explicit parent id
6962,ค่าภาษีอากรอื่น ๆ,EXPENSE,COGS,from TB row order; no explicit parent id
